TABLE,RUN,NUM_LABELS,MIN,P25,P50,P75,P90,P95,P99,MAX,MEAN,QPS
cohere_wikipedia_22_12_1m_angular_normal_int,2,32,894.28,1192.84,1255.40,1316.40,1365.70,1386.33,1421.81,1466.76,1249.66,0.80
cohere_wikipedia_22_12_1m_angular_normal_int,2,64,1730.26,1745.49,1750.60,1754.75,1763.50,1781.05,1807.37,1814.58,1752.40,0.57
cohere_wikipedia_22_12_1m_angular_normal_diskann,1,1,44.21,119.02,431.17,3523.46,17268.37,23058.25,23367.96,23931.10,3992.24,0.25
cohere_wikipedia_22_12_1m_angular_normal_diskann,1,2,29.38,82.43,133.68,468.85,1902.06,4007.66,15356.59,25082.02,926.40,1.08
cohere_wikipedia_22_12_1m_angular_normal_diskann,1,4,23.30,50.70,66.52,97.67,211.69,393.96,997.10,2816.75,118.83,8.42
cohere_wikipedia_22_12_1m_angular_normal_diskann,1,8,14.81,32.84,40.50,51.76,66.18,76.96,114.79,273.79,45.22,22.11
cohere_wikipedia_22_12_1m_angular_normal_diskann,1,16,11.55,22.08,26.00,30.80,35.89,39.57,47.10,70.78,26.84,37.26
cohere_wikipedia_22_12_1m_angular_normal_diskann,1,32,8.85,16.34,19.29,22.42,24.93,26.44,28.92,32.62,19.47,51.36
cohere_wikipedia_22_12_1m_angular_normal_diskann,1,64,8.03,14.40,16.78,19.20,21.26,22.25,24.21,28.52,16.76,59.67
cohere_wikipedia_22_12_1m_angular_normal_diskann,2,1,46.80,131.70,503.06,3905.19,17529.69,23069.12,24369.96,25166.04,4200.34,0.24
cohere_wikipedia_22_12_1m_angular_normal_diskann,2,2,28.82,76.07,121.70,344.19,1929.78,5668.61,14697.43,22561.83,976.41,1.02
cohere_wikipedia_22_12_1m_angular_normal_diskann,2,4,21.52,49.17,67.13,101.63,205.46,337.91,877.25,3567.13,117.72,8.49
cohere_wikipedia_22_12_1m_angular_normal_diskann,2,8,13.42,32.00,39.75,51.09,66.89,83.97,128.06,347.93,45.23,22.11
cohere_wikipedia_22_12_1m_angular_normal_diskann,2,16,12.08,22.04,26.98,31.83,36.51,40.39,48.06,86.33,27.55,36.30
cohere_wikipedia_22_12_1m_angular_normal_diskann,2,32,8.97,16.79,19.51,22.72,25.07,26.35,28.51,33.05,19.69,50.79
cohere_wikipedia_22_12_1m_angular_normal_diskann,2,64,7.88,14.24,16.63,19.12,21.06,22.21,24.23,28.63,16.64,60.09
